svcscan.fs_drivers,callbacks.ngeneric,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_eprocess_pool,callbacks.nanonymous,psxview.not_in_session,psxview.not_in_pslist,psxview.not_in_pspcid_list,psxview.not_in_ethread_pool,psxview.not_in_csrss_handles,psxview.not_in_pslist_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_deskthrd,psxview.not_in_ethread_pool_false_avg,psxview.not_in_session_false_avg,Class
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,3,1,1,1,5,0.023200874,0.023200874,7,0.023200874,0.069602621,0
26,8,0.0,0,0,2,0,0,0,4,0.016001301,0.016001301,6,0.016001301,0.060728515,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,1
26,8,0.0,0,0,3,1,1,1,5,0.022727273,0.022727273,7,0.022727273,0.068181818,1
26,8,0.0,0,0,5,3,3,3,7,0.068181818,0.068181818,9,0.068181818,0.113636364,1
26,8,0.0,0,0,4,2,2,5,9,0.034361184,0.034361184,13,0.080848889,0.06670074,0
26,8,0.0,0,0,6,4,4,4,8,0.097560976,0.097560976,10,0.097560976,0.146341463,1
26,8,0.0,0,0,5,3,3,4,8,0.065217391,0.065217391,10,0.086956522,0.108695652,1
26,8,0.0,0,0,4,2,2,3,7,0.045454545,0.045454545,9,0.068181818,0.090909091,1
26,8,0.0,0,0,2,0,0,1,5,0.011568287,0.011568287,7,0.023255814,0.058079915,0
26,8,0.0,0,0,6,4,4,4,8,0.090909091,0.090909091,9,0.090909091,0.136363636,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.044444444,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,4,2,2,2,6,0.054054054,0.054054054,8,0.054054054,0.108108108,1
26,8,0.0,0,0,3,1,1,1,5,0.024390244,0.024390244,7,0.024390244,0.073170732,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,6,4,4,4,8,0.085106383,0.085106383,10,0.085106383,0.127659574,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.052631579,1
26,8,0.0,0,0,4,2,2,129,133,0.01183432,0.01183432,135,0.763313609,0.023668639,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.057142857,1
26,8,0.0,0,0,11,9,9,9,13,0.191489362,0.191489362,15,0.191489362,0.234042553,1
26,8,0.0,0,0,2,0,0,0,4,0.011552836,0.011552836,7,0.011552836,0.047160286,0
26,8,0.0,0,0,4,2,2,2,6,0.046511628,0.046511628,8,0.046511628,0.093023256,0
26,8,0.0,0,0,6,4,4,4,8,0.090909091,0.090909091,10,0.090909091,0.136363636,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.040470267,0
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.022727273,0.045454545,1
26,8,0.0,0,0,7,5,5,5,9,0.108695652,0.108695652,11,0.108695652,0.152173913,1
26,8,0.0,0,0,3,1,1,1,5,0.029750706,0.029750706,7,0.029750706,0.07826317,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,13,11,11,12,16,0.2,0.2,18,0.218181818,0.236363636,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045368618,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.057142857,1
26,8,0.0,0,0,3,1,1,1,5,0.022222222,0.022222222,7,0.022222222,0.066666667,0
26,8,0.0,0,0,6,4,4,4,8,0.088888889,0.088888889,10,0.088888889,0.133333333,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.058823529,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,3,1,1,1,5,0.023809524,0.023809524,7,0.023809524,0.071428571,1
26,8,0.0,0,0,6,4,4,4,8,0.093023256,0.093023256,10,0.093023256,0.139534884,1
26,8,0.0,0,0,3,1,1,1,5,0.022192984,0.022192984,7,0.022192984,0.066578951,0
26,8,0.0,0,0,4,2,2,2,6,0.044444444,0.044444444,12,0.044444444,0.088888889,1
26,8,0.0,0,0,6,4,4,4,8,0.090909091,0.090909091,10,0.090909091,0.136363636,1
26,8,0.0,0,0,3,1,1,1,5,0.02173913,0.02173913,7,0.02173913,0.065217391,1
26,8,0.0,0,0,6,4,4,4,8,0.093023256,0.093023256,10,0.093023256,0.139534884,1
26,8,0.0,0,0,5,3,3,3,7,0.065217391,0.065217391,10,0.065217391,0.108695652,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.068965517,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,14,12,12,14,18,0.228814449,0.228814449,20,0.263587002,0.265448909,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,1
26,8,0.0,0,0,4,2,2,2,6,0.048780488,0.048780488,8,0.048780488,0.097560976,1
26,8,0.0,0,0,7,5,5,5,9,0.11627907,0.11627907,11,0.11627907,0.162790698,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,4,2,2,6,10,0.042553191,0.042553191,12,0.127659574,0.085106383,1
26,8,0.0,0,0,6,4,4,4,8,0.090909091,0.090909091,9,0.090909091,0.136363636,0
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.02173913,0.043478261,1
26,8,0.0,0,0,6,4,4,4,8,0.081656904,0.081656904,10,0.081656904,0.118473709,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,3,1,1,2,6,0.023809524,0.023809524,8,0.047619048,0.071428571,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.0625,1
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,8,0.023255814,0.069767442,1
26,8,0.0,0,0,6,4,4,4,8,0.085106383,0.085106383,10,0.085106383,0.127659574,1
26,8,0.0,0,0,7,5,5,7,11,0.147832344,0.147832344,13,0.20000533,0.20000533,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.00023927,0.00023927,6,0.00023927,0.045704691,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,3,1,1,13,17,0.013513514,0.013513514,19,0.175675676,0.040540541,1
26,8,0.0,0,0,3,1,1,1,5,0.023809524,0.023809524,7,0.023809524,0.071428571,1
26,8,0.0,0,0,5,3,3,3,7,0.071428571,0.071428571,9,0.071428571,0.119047619,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,2,0,0,0,4,0.005826087,0.005826087,6,0.005826087,0.052066734,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,4,2,2,2,6,0.046511628,0.046511628,8,0.046511628,0.093023256,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,9,7,7,7,11,0.152173913,0.152173913,13,0.152173913,0.195652174,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,2,0,0,0,4,0.009452211,0.009452211,6,0.009452211,0.0589796,0
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.02173913,0.043478261,1
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,7,0.023255814,0.069767442,1
26,8,0.0,0,0,7,5,5,6,10,0.10763663,0.10763663,12,0.114181996,0.144000267,0
26,8,0.0,0,0,6,4,4,4,8,0.111111111,0.111111111,9,0.111111111,0.166666667,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,8,6,6,6,10,0.133333333,0.133333333,12,0.133333333,0.177777778,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.052631579,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,1
26,8,0.0,0,0,4,2,2,2,6,0.047619048,0.047619048,8,0.047619048,0.095238095,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,6,4,4,5,9,0.093023256,0.093023256,11,0.11627907,0.139534884,1
26,8,0.0,0,0,10,8,8,9,13,0.167196063,0.167196063,15,0.186063988,0.204931912,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,4,0.0,0.090909091,0
26,8,0.0,0,0,2,0,0,1,5,0.013906961,0.013906961,7,0.023255814,0.060418589,0
26,8,0.0,0,0,5,3,3,3,7,0.076810406,0.076810406,9,0.076810406,0.120440101,0
26,8,0.0,0,0,4,2,2,2,6,0.045454545,0.045454545,8,0.045454545,0.090909091,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.008967397,0.045046936,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.023255814,0.046511628,1
26,8,0.0,0,0,7,5,5,5,9,0.084745763,0.084745763,11,0.084745763,0.118644068,0
26,8,0.0,0,0,11,9,9,9,13,0.183673469,0.183673469,15,0.183673469,0.224489796,0
26,8,0.0,0,0,6,4,4,4,8,0.093023256,0.093023256,10,0.093023256,0.139534884,1
26,8,0.0,0,0,2,0,0,0,4,0.000382454,0.000382454,6,0.000382454,0.050363331,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.08,1
26,8,0.0,0,0,3,1,1,1,5,0.03030303,0.03030303,6,0.03030303,0.090909091,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,5,3,3,3,7,0.069767442,0.069767442,8,0.069767442,0.11627907,0
26,8,0.0,0,0,6,4,4,4,8,0.093023256,0.093023256,10,0.093023256,0.139534884,1
26,8,0.0,0,0,3,1,1,1,5,0.022727273,0.022727273,7,0.022727273,0.068181818,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,12,10,10,11,15,0.19650329,0.19650329,17,0.21610077,0.235698251,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.051282051,1
26,8,0.0,0,0,4,2,2,2,6,0.054054054,0.054054054,8,0.054054054,0.108108108,1
26,8,0.0,0,0,5,3,3,3,7,0.084600257,0.084600257,8,0.084600257,0.131543834,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,1
26,8,0.0,0,0,7,5,5,5,9,0.119047619,0.119047619,11,0.119047619,0.166666667,1
26,8,0.0,0,0,8,6,6,7,11,0.127659574,0.127659574,13,0.14893617,0.170212766,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,2,0,0,2,6,0.0,0.0,9,0.041666667,0.041666667,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.0625,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,6,0.029411765,0.058823529,1
26,8,0.0,0,0,6,4,4,5,9,0.090909091,0.090909091,11,0.113636364,0.136363636,1
26,8,0.0,0,0,3,1,1,1,5,0.024390244,0.024390244,7,0.024390244,0.073170732,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,3,1,1,1,5,0.034913699,0.034913699,7,0.034913699,0.082532746,0
26,8,0.0,0,0,2,0,0,0,4,0.022863095,0.022863095,6,0.022863095,0.070438122,0
26,8,0.006970278,0,0,2,0,0,1,5,0.006970278,0.006970278,7,0.029799066,0.050709899,0
26,8,0.0,0,0,6,4,4,8,12,0.075471698,0.075471698,14,0.150943396,0.113207547,1
26,8,0.0,0,0,12,10,10,11,15,0.196078431,0.196078431,17,0.215686275,0.235294118,0
26,8,0.0,0,0,8,6,6,7,11,0.13364095,0.13364095,13,0.153487334,0.173333716,0
26,8,0.0,0,0,8,6,6,6,10,0.127659574,0.127659574,12,0.127659574,0.170212766,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,1
26,8,0.0,0,0,13,11,11,12,16,0.2,0.2,18,0.218181818,0.236363636,0
26,8,0.0,0,0,2,0,0,2,6,0.0,0.0,7,0.047619048,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,4,2,2,2,6,0.048780488,0.048780488,8,0.048780488,0.097560976,1
26,8,0.0,0,0,4,2,2,2,6,0.051282051,0.051282051,8,0.051282051,0.102564103,1
26,8,0.0,0,0,2,0,0,0,4,0.017974202,0.017974202,6,0.017974202,0.062611739,0
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,7,0.023255814,0.069767442,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,6,4,4,4,8,0.106950076,0.106950076,9,0.106950076,0.152747507,0
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.057142857,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,2,0,0,0,4,0.010458256,0.010458256,6,0.010458256,0.059935343,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,1
26,8,0.0,0,0,4,2,2,3,7,0.047619048,0.047619048,9,0.071428571,0.095238095,1
